,Unnamed: 0_x,Feature,Chi2_x,Unnamed: 0_y,Chi2_y,Unnamed: 0,Chi2
190,10721,beecham,6.471115092,8511,0.56,8214,1.155080214
191,10720,hoffmann,6.471115092,8513,0.56,8267,1.155080214
192,10717,as,6.401704884,10434,10.73065049,11258,36.66310473
193,10716,reductas,6.39408867,9785,2.539515738,8810,1.836436817
194,10715,daili,6.388111888,10425,10.33731113,9485,3.39918034
195,10714,inr,6.339901478,7968,0.382527473,8166,1.096984594
196,10713,increas,6.328817974,11047,24.69036708,10913,11.11342717
197,10712,25,6.316310014,10382,8.676900093,11140,19.86142212
198,10707,coeffici,6.00123492,7695,0.331439394,9437,3.042570686
199,10706,averag,5.92252575,9668,2.197689594,9438,3.050815587
200,10705,tmax,5.893423612,9286,1.253864606,9333,2.628713237
202,10704,hr,5.743842365,10361,7.42,10871,9.662058992
201,10703,coa,5.743842365,6551,0.175148248,8744,1.636969024
203,10701,duplic,5.710579551,10437,10.85950739,10834,8.374331551
204,10700,allel,5.677471709,11317,428.4600709,11144,20.35828877
205,10697,vital,5.63546798,9996,3.629065934,6328,0.392530128
206,10696,co,5.631825818,10316,6.54087531,10876,10.02393995
207,10695,recruit,5.59612801,9189,1.061593407,7102,0.571903042
208,10692,confid,5.472906404,9907,3.437751061,7470,0.67569306
209,10691,primari,5.418719212,9638,2.052014286,9586,3.971194296
210,10690,2,5.385928248,8647,0.63,8488,1.299465241
211,10689,smithklin,5.385928248,8656,0.63,8480,1.299465241
212,10687,metabolis,5.385928248,8679,0.63,8486,1.299465241
213,10685,dilut,5.332288401,7262,0.251904762,7479,0.714068793
214,10684,doubl,5.310344828,9048,0.9703207,8803,1.76304057
215,10683,treatment,5.211347573,11141,33.15782764,11245,32.11608756
216,10682,when,5.146702994,9792,2.607644493,11106,14.61385446
217,10681,geometr,5.093720073,10351,7.085813187,8901,2.035949236
218,10680,toler,5.093720073,10108,5.323252747,9830,6.427649039
219,10678,ae,5.07256642,9905,3.43,8643,1.469715159
220,10676,50,4.987810681,9384,1.454475446,10930,12.2527295
226,10646,clnr,4.890431408,6821,0.21,10797,7.94936291
247,10672,maxima,4.890431408,7143,0.21,10796,7.94936291
222,10649,perrier,4.890431408,6640,0.21,8372,1.167822011
236,10636,rockvill,4.890431408,6780,0.21,8366,1.167822011
237,10635,db,4.890431408,6844,0.21,8359,1.167822011
238,10634,dealkyl,4.890431408,6842,0.21,8420,1.167822011
239,10633,gibaldi,4.890431408,6998,0.21,8419,1.167822011
245,10665,dihydro,4.890431408,7021,0.21,8424,1.167822011
246,10654,abstract,4.890431408,7150,0.21,8300,1.167822011
259,10659,practis,4.890431408,6634,0.21,8367,1.167822011
221,10650,bromma,4.890431408,6931,0.21,6926,0.43315508
223,10648,violat,4.890431408,7029,0.21,6465,0.43315508
224,10641,signif,4.890431408,6601,0.21,6454,0.43315508
225,10647,orthostat,4.890431408,6650,0.21,6547,0.43315508
227,10645,noncompli,4.890431408,6706,0.21,6506,0.43315508
228,10644,sslvpn,4.890431408,6614,0.21,6522,0.43315508
229,10643,cocktail,4.890431408,6814,0.21,6639,0.43315508
230,10642,shaken,4.890431408,6773,0.21,6916,0.43315508
231,10657,https,4.890431408,6987,0.21,6765,0.43315508
232,10640,spa,4.890431408,6595,0.21,6498,0.43315508
233,10639,diaphragm,4.890431408,7024,0.21,6681,0.43315508
234,10638,danainfo,4.890431408,6849,0.21,6415,0.43315508
235,10637,go,4.890431408,6994,0.21,6859,0.43315508
240,10632,solna,4.890431408,6627,0.21,6633,0.43315508
241,10652,phi,4.890431408,6626,0.21,6450,0.43315508
242,10651,supelcosil,4.890431408,6597,0.21,6677,0.43315508
243,10658,grove,4.890431408,6992,0.21,6769,0.43315508
244,10653,weakest,4.890431408,6828,0.21,6751,0.43315508
248,10671,twotail,4.890431408,6878,0.21,6757,0.43315508
249,10670,medstat,4.890431408,7104,0.21,6369,0.43315508
250,10669,undilut,4.890431408,7003,0.21,6444,0.43315508
251,10668,methyluracil,4.890431408,6624,0.21,6379,0.43315508
252,10667,extra,4.890431408,6986,0.21,6600,0.43315508
253,10666,ovidsp,4.890431408,6796,0.21,6519,0.43315508
254,10673,loo,4.890431408,7154,0.21,6830,0.43315508
255,10664,pitt,4.890431408,6708,0.21,6380,0.43315508
256,10662,assen,4.890431408,7186,0.21,6824,0.43315508
257,10661,hundr,4.890431408,6989,0.21,6739,0.43315508
258,10660,whippani,4.890431408,6914,0.21,6800,0.43315508
260,10663,prototyp,4.890431408,6602,0.21,6669,0.43315508
261,10656,straight,4.890431408,6623,0.21,6661,0.43315508
262,10655,handl,4.890431408,6985,0.21,6720,0.43315508
263,10631,system,4.872398137,10315,6.524970964,8805,1.787442414
264,10630,point,4.864036008,9595,1.946618445,6971,0.494375374
265,10629,from,4.84109798,10492,13.26467579,11232,30.00519287
267,10627,t1,4.829094492,10147,6.090285714,9034,2.41667657
266,10628,tion,4.829094492,9733,2.283531429,8866,1.98401426
268,10625,microsom,4.822660099,10308,6.23,10844,8.680381698
269,10623,about,4.80301964,8904,0.797193878,9594,4.042780749
270,10622,disord,4.768472906,10150,6.16,8013,0.992311709
271,10620,depart,4.718052063,9807,2.73,7780,0.857854564
272,10619,15,4.648464729,11032,22.64956522,11121,16.35537386
273,10618,second,4.610067643,9802,2.662521008,10752,7.574865663
274,10617,fit,4.606408917,10044,4.41,11314,121.5110614
275,10616,formul,4.60591133,10142,5.95,11324,337.9442615
276,10615,multipl,4.599759201,7698,0.34754879,11214,26.01760561
277,10614,administ,4.566668771,10312,6.417031,9443,3.11861387
278,10613,includ,4.534305574,9408,1.470873706,9412,2.914056163
279,10610,bladder,4.528616211,8776,0.7,8587,1.443850267
280,10611,disintegr,4.528616211,8750,0.7,8616,1.443850267
281,10612,great,4.528616211,8760,0.7,8594,1.443850267
282,10608,cyp,4.508794927,8251,0.487502365,9682,4.921266948
283,10607,absenc,4.497536946,9256,1.163511188,9469,3.272128323
284,10605,restrict,4.443573668,11155,36.00057143,8911,2.104892058
285,10604,2d6,4.41909633,11058,28.53052632,9354,2.743315508
286,10601,given,4.294594388,9307,1.299756098,7097,0.56022478
287,10600,analyt,4.239549392,8555,0.561600985,10820,7.962413178
288,10598,1a,4.226600985,11323,829.540293,10919,11.26203209
289,10597,coadminist,4.226600985,9986,3.529688645,10918,11.26203209
290,10596,combin,4.206152231,8739,0.697103448,9839,6.629116042
291,10595,et,4.205668265,11264,82.69659623,9740,5.111253128
292,10594,spectrometri,4.196271534,10378,8.376687737,6341,0.408893726
293,10593,column,4.191732886,10929,16.4763289,8863,1.950525163
294,10590,fragment,4.130108971,11244,66.41719048,9625,4.331550802
295,10589,rate,4.119323234,8562,0.582860627,9481,3.331196228
296,10587,cypnumbercnumb,4.118226601,11204,48.60270677,10911,10.97326203
297,10586,releas,4.118226601,8918,0.836860902,11310,103.2367952
299,10583,regimen,4.064039409,10105,5.25,11268,46.1629656
298,10584,pd,4.064039409,9888,3.32807619,10909,10.82887701
300,10581,impair,4.009852217,10102,5.18,9585,3.931589343
301,10582,everi,4.009852217,9565,1.784092664,7971,0.869586164
302,10580,sequenc,4.005453339,10439,11.08526849,9417,2.965560205
